City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yazd,31.9,54.37,87.8,15,0,4.7,IR,1595186623
Coquimbo,-29.95,-71.34,57.2,87,40,13.87,CL,1595186426
Cape Town,-33.93,18.42,61.0,93,75,10.29,ZA,1595186623
Vardø,70.37,31.11,53.6,93,75,11.41,NO,1595186623
Iqaluit,63.75,-68.51,46.4,100,90,9.17,CA,1595186623
Ixtapa,20.7,-105.2,91.0,70,20,9.17,MX,1595186623
George Town,5.41,100.34,82.4,94,40,5.82,MY,1595186623
Tilichiki,60.47,166.1,49.33,98,100,8.43,RU,1595186623
Batagay-Alyta,67.8,130.41,56.8,84,98,2.33,RU,1595186624
Esperance,-33.87,121.9,50.0,81,90,4.7,AU,1595186624
Vaini,-21.2,-175.2,68.0,94,90,11.41,TO,1595186395
Cherskiy,68.75,161.3,64.27,59,0,7.54,RU,1595186624
Bengkulu,-3.8,102.27,77.05,90,75,8.03,ID,1595186624
Porangatu,-13.44,-49.15,89.04,25,0,7.43,BR,1595186624
Taoudenni,22.68,-3.98,108.75,10,75,4.36,ML,1595186624
Vizinga,61.07,50.1,62.13,75,0,5.77,RU,1595186624
The Valley,18.22,-63.06,87.8,62,40,16.11,AI,1595186624
Puerto Ayora,-0.74,-90.35,77.0,69,75,20.8,EC,1595186416
Brae,60.4,-1.35,53.6,87,0,4.7,GB,1595186624
Bethel,41.37,-73.41,95.0,41,1,8.05,US,1595186624
Burē,10.7,37.07,54.18,94,100,2.24,ET,1595186624
Qaanaaq,77.48,-69.36,47.14,67,99,1.14,GL,1595186396
Salalah,17.02,54.09,80.6,94,90,9.17,OM,1595186625
Huambo,-12.78,15.74,54.41,40,0,6.08,AO,1595186625
Rūdbār,30.15,62.6,93.54,12,0,21.09,AF,1595186625
Leningradskiy,69.38,178.42,36.32,83,68,5.03,RU,1595186625
Port Augusta,-32.5,137.77,46.4,75,90,4.7,AU,1595186399
Río Cuarto,-33.13,-64.35,51.8,93,40,8.05,AR,1595186467
Cap Malheureux,-19.98,57.61,70.0,61,38,11.01,MU,1595186625
Kavaratti,10.57,72.64,80.96,83,100,17.0,IN,1595186345
Mrakovo,52.72,56.62,63.52,90,0,4.41,RU,1595186625
Bambous Virieux,-20.34,57.76,70.0,60,40,14.99,MU,1595186625
Geraldton,-28.77,114.6,50.0,87,0,8.05,AU,1595186625
Kumul,42.8,93.45,87.69,17,90,11.81,CN,1595186431
Nurota,40.56,65.69,82.4,18,0,2.24,UZ,1595186626
Tlachichuca,19.1,-97.42,69.15,42,0,2.37,MX,1595186626
Bastrop,32.76,-91.87,93.99,52,40,4.7,US,1595186626
Qixingtai,30.41,111.89,71.01,95,0,2.62,CN,1595186626
Sevsk,52.15,34.49,59.86,79,20,2.68,RU,1595186626
Evensk,61.95,159.23,56.52,82,84,12.8,RU,1595186626
Provideniya,64.38,-173.3,51.8,76,75,8.95,RU,1595186626
Pangnirtung,66.15,-65.71,62.6,59,90,4.0,CA,1595186626
Rāvar,31.27,56.81,83.53,14,0,10.67,IR,1595186626
Severo-Kuril'sk,50.68,156.12,49.55,92,100,10.96,RU,1595186626
Hithadhoo,-0.6,73.08,82.83,77,100,16.35,MV,1595186465
Srednekolymsk,67.45,153.68,65.41,58,0,11.54,RU,1595186626
Blackwater,-23.58,148.88,52.9,79,0,3.22,AU,1595186626
Ponta do Sol,32.67,-17.1,75.2,53,40,16.11,PT,1595186626
Kaitangata,-46.28,169.85,43.0,79,100,7.0,NZ,1595186627
Caravelas,-17.71,-39.25,75.38,74,46,8.43,BR,1595186627
Langsa,4.47,97.97,76.15,92,100,2.59,ID,1595186627
Atuona,-9.8,-139.03,79.52,72,44,14.07,PF,1595186608
Dunedin,-45.87,170.5,43.0,79,25,7.0,NZ,1595186627
Katherine,-14.47,132.27,55.4,58,0,2.24,AU,1595186627
Airai,-8.93,125.41,54.05,64,53,2.51,TL,1595186627
Taltal,-25.4,-70.48,62.1,64,55,4.94,CL,1595186627
Baculin,7.45,126.58,78.94,78,0,3.94,PH,1595186627
Road Town,18.42,-64.62,89.6,59,20,14.99,VG,1595186627
Dikson,73.51,80.55,41.31,95,100,11.92,RU,1595186627
Turukhansk,65.82,87.98,55.96,63,100,5.01,RU,1595186462
Jamestown,42.1,-79.24,69.8,94,90,9.17,US,1595186362
Kumla,59.13,15.14,72.0,68,99,6.93,SE,1595186627
Vestmannaeyjar,63.44,-20.27,51.8,76,100,20.8,IS,1595186628
Tiksi,71.69,128.87,56.07,73,0,8.95,RU,1595186628
Hasaki,35.73,140.83,71.01,100,20,2.24,JP,1595186628
Garmsār,35.22,52.34,87.58,21,0,5.01,IR,1595186628
Sehithwa,-20.47,22.72,57.61,35,0,7.74,BW,1595186628
Klaksvík,62.23,-6.59,50.0,71,100,14.99,FO,1595186628
Kannur,11.87,75.36,78.3,90,100,8.14,IN,1595186628
Tsabong,-26.02,22.4,51.48,42,0,4.9,BW,1595186628
Río Tercero,-32.17,-64.11,71.58,52,100,5.06,AR,1595186628
Mahon,39.89,4.27,75.2,83,20,5.82,ES,1595186628
Carnarvon,-24.87,113.63,50.0,81,0,8.05,AU,1595186628
Cayenne,4.93,-52.33,84.2,70,62,4.7,GF,1595186410
Karratha,-20.74,116.85,64.38,67,0,9.53,AU,1595186629
Kununurra,-15.77,128.73,59.0,47,0,3.36,AU,1595186629
Atar,20.52,-13.05,103.41,18,89,3.85,MR,1595186629
Mahébourg,-20.41,57.7,69.8,60,40,14.99,MU,1595186396
Fallon,39.47,-118.78,93.99,13,40,5.82,US,1595186629
Camacha,33.08,-16.33,73.4,69,20,13.87,PT,1595186629
Adrar,20.5,-10.07,105.01,12,29,8.08,MR,1595186629
Aleksandriyskaya,44.23,43.35,80.6,42,0,2.24,RU,1595186629
Barranca,-10.75,-77.77,65.64,66,19,11.68,PE,1595186629
Mount Gambier,-37.83,140.77,46.4,81,75,9.17,AU,1595186408
Lake Shasta,40.68,-122.37,100.99,21,0,1.01,US,1595186630
Gore,-46.1,168.94,39.0,83,100,3.0,NZ,1595186583
Belmonte,-15.86,-38.88,77.0,65,40,6.93,BR,1595186630
Ihosy,-22.4,46.12,54.05,88,2,10.0,MG,1595186630
Fort Nelson,58.81,-122.7,71.6,46,75,12.75,CA,1595186630
Norman Wells,65.28,-126.83,59.0,77,75,5.82,CA,1595186630
Clyde River,70.47,-68.59,48.2,76,1,14.99,CA,1595186630
Mokhotlong,-29.29,29.07,39.45,52,0,2.06,LS,1595186630
Richards Bay,-28.78,32.04,60.94,83,0,3.51,ZA,1595186630
Elliot,-31.33,27.85,47.16,39,0,6.11,ZA,1595186630
Talnakh,69.49,88.4,48.2,81,98,17.9,RU,1595186414
Sechura,-5.56,-80.82,73.42,57,0,14.32,PE,1595186630
Katsuura,35.13,140.3,73.99,94,20,2.24,JP,1595186631
Lima,-12.04,-77.03,66.2,68,75,8.05,PE,1595186393
San Cristobal,7.77,-72.22,96.8,32,20,21.92,VE,1595186631
Gravelbourg,49.88,-106.55,69.85,46,100,7.49,CA,1595186631
Port Blair,11.67,92.75,81.54,79,100,3.74,IN,1595186415
Saint-Philippe,-21.36,55.77,68.0,68,75,14.99,RE,1595186631
Sistranda,63.73,8.83,57.2,76,75,6.93,NO,1595186631
Camacupa,-12.02,17.48,54.09,43,0,3.42,AO,1595186631
Mananara,-16.17,49.77,66.78,84,42,9.84,MG,1595186631
Narsaq,60.92,-46.05,69.8,35,4,3.36,GL,1595186429
Porbandar,21.64,69.61,84.63,80,99,16.11,IN,1595186631
Pisco,-13.7,-76.22,66.2,72,95,8.05,PE,1595186631
Heraclea,37.51,34.05,80.71,40,0,3.18,TR,1595186632
Nikolayevka,53.13,47.2,59.99,85,0,4.52,RU,1595186632
Egvekinot,66.32,-179.17,41.81,71,0,6.42,RU,1595186632
Callaguip,18.07,120.49,78.8,94,20,2.24,PH,1595186632
Noumea,-22.28,166.46,66.99,100,20,3.36,NC,1595186632
Chui,-33.7,-53.46,72.37,77,100,5.06,UY,1595186400
Conakry,9.54,-13.68,82.4,78,75,9.17,GN,1595186579
Alofi,-19.06,-169.92,69.8,100,100,4.7,NU,1595186632
Ulaanbaatar,47.91,106.88,39.2,80,1,2.24,MN,1595186632
Ust-Nera,64.57,143.2,56.5,71,100,4.74,RU,1595186632
La Ronge,55.1,-105.28,64.4,82,90,10.29,CA,1595186632
Florianópolis,-27.61,-48.5,77.0,64,0,11.41,BR,1595186632
Ust-Tsilma,65.44,52.15,55.24,77,0,5.03,RU,1595186633
Poso,-1.4,120.75,76.98,75,0,5.17,ID,1595186633
Kavieng,-2.57,150.8,80.92,75,100,6.35,PG,1595186633
Lorengau,-2.02,147.27,81.12,75,17,7.56,PG,1595186409
Tawang Town,27.58,91.87,58.64,80,100,1.39,IN,1595186633
Los Llanos de Aridane,28.66,-17.92,75.2,78,0,16.11,ES,1595186633
Khatanga,71.97,102.5,49.55,81,100,6.26,RU,1595186633
Talas,38.69,35.55,80.6,34,0,1.12,TR,1595186633
Asău,46.43,26.4,60.01,98,100,2.39,RO,1595186633
Denpasar,-8.65,115.22,80.6,94,40,12.75,ID,1595186633
Saint Paul Harbor,57.79,-152.41,55.4,87,75,10.29,US,1595186633
Makarov,48.63,142.8,59.43,93,64,2.68,RU,1595186634
Winona,43.97,-91.77,80.6,51,40,10.29,US,1595186511
Constitución,-35.33,-72.42,56.25,83,68,14.67,CL,1595186634
Tuatapere,-46.13,167.68,39.0,83,100,3.0,NZ,1595186634
Waipawa,-41.41,175.52,46.99,87,100,3.36,NZ,1595186634
Itarema,-2.92,-39.92,82.09,63,3,17.92,BR,1595186634
Katangli,51.71,143.23,54.5,93,100,4.05,RU,1595186634
Portland,45.52,-122.68,80.6,44,20,5.82,US,1595186495
Griffith,41.53,-87.42,71.6,100,90,6.93,US,1595186362
Sorong,-0.88,131.25,77.99,87,7,7.96,ID,1595186634
Basco,20.45,121.97,85.1,78,1,14.03,PH,1595186634
Marabu,4.41,114.01,78.8,94,40,4.79,MY,1595186401
Marawi,8.0,124.29,75.0,91,100,4.0,PH,1595186634
Harper,4.38,-7.72,76.57,86,81,10.33,LR,1595186635
Kavos,38.83,22.83,79.0,66,0,1.57,GR,1595186635
Banjarmasin,-3.32,114.59,77.0,100,90,1.12,ID,1595186635
Yārāda,17.65,83.27,82.4,88,40,4.7,IN,1595186635
Aykhal,66.0,111.5,53.6,93,90,6.71,RU,1595186635
El Cocuy,6.41,-72.44,61.56,65,80,2.64,CO,1595186635
Beloha,-25.17,45.05,62.4,79,0,10.78,MG,1595186635
Ekhabi,53.51,142.97,53.2,94,100,6.46,RU,1595186635
Philadelphia,39.95,-75.16,97.0,41,40,13.87,US,1595186535
Socorro,31.65,-106.3,93.2,26,75,4.7,US,1595186435
Tuktoyaktuk,69.45,-133.04,42.8,87,90,2.24,CA,1595186635
Mogzon,51.74,111.96,45.86,75,97,7.76,RU,1595186636
Puro,12.48,123.38,80.96,76,100,3.36,PH,1595186636
Suntar,62.14,117.63,55.8,95,100,9.62,RU,1595186636
Hong Kong,22.29,114.16,84.0,74,100,5.99,HK,1595186410
General Roca,-39.03,-67.58,53.6,81,75,11.7,AR,1595186636
Arlit,18.74,7.39,95.47,25,100,11.03,NE,1595186636
Stromness,58.97,-3.3,55.4,82,0,17.22,GB,1595186636
Nioki,-2.72,17.68,79.56,40,21,0.83,CD,1595186636
Mbuji-Mayi,-6.15,23.6,74.64,30,40,1.86,CD,1595186636
Cabo San Lucas,22.89,-109.91,93.2,46,40,10.29,MX,1595186636
Jumla,29.27,82.18,62.6,70,75,1.72,NP,1595186636
Fare,-16.7,-151.02,77.29,82,42,21.18,PF,1595186584
Martapura,-3.42,114.85,77.0,100,90,1.12,ID,1595186637
Tocopilla,-22.09,-70.2,64.76,46,100,6.22,CL,1595186637
Avarua,-21.21,-159.78,75.2,78,18,14.99,CK,1595186637
Zvishavane,-20.33,30.07,54.1,56,0,5.28,ZW,1595186637
Davila,18.47,120.58,78.8,94,20,2.24,PH,1595186637
Llanes,43.42,-4.75,75.0,66,0,1.88,ES,1595186637
Amapá,1.0,-52.0,81.14,84,35,3.78,BR,1595186638
Vestmanna,62.16,-7.17,50.0,71,100,14.99,FO,1595186638
Tucuruí,-3.77,-49.67,87.28,51,55,6.2,BR,1595186639
Dombarovskiy,50.76,59.54,73.36,63,1,12.24,RU,1595186639
Karla,59.37,24.93,68.0,68,100,2.24,EE,1595186639
Tigre,-34.43,-58.58,78.8,54,100,5.82,AR,1595186639
Ilulissat,69.22,-51.1,55.4,43,100,3.36,GL,1595186639
Doembang Nangbuat,14.83,100.1,82.0,82,100,5.77,TH,1595186639
Thompson,55.74,-97.86,75.2,44,75,10.29,CA,1595186639
Azul,-36.78,-59.86,58.53,90,100,8.9,AR,1595186639
Morden,49.19,-98.1,71.6,72,90,10.29,CA,1595186383
Buraidah,26.33,43.98,100.4,18,59,2.24,SA,1595186396
Sitka,57.05,-135.33,55.4,93,90,9.17,US,1595186639
Kisangani,0.52,25.2,73.99,64,100,0.83,CD,1595186639
Nouadhibou,20.93,-17.03,73.4,83,56,17.22,MR,1595186640
Erenhot,43.65,111.98,71.19,31,0,0.36,CN,1595186640
Padang,-0.95,100.35,75.2,94,40,1.12,ID,1595186640
Nhulunbuy,-12.23,136.77,71.6,78,5,6.93,AU,1595186640
Khandyga,62.67,135.6,66.13,94,34,2.73,RU,1595186640
Thanh Hoa,19.8,105.77,82.85,86,100,6.11,VN,1595186505
Eidsvåg,62.78,8.07,57.2,82,75,13.87,NO,1595186641
Sioux Lookout,50.1,-91.92,55.4,93,90,17.22,CA,1595186641
Saskylakh,71.92,114.08,50.34,78,91,9.89,RU,1595186577
Kekri,25.97,75.15,89.15,59,100,14.05,IN,1595186641
Lüderitz,-26.65,15.16,71.6,21,0,5.82,NA,1595186641
Kahului,20.89,-156.47,86.0,55,40,23.04,US,1595186484
Teahupoo,-17.83,-149.27,78.8,69,40,3.36,PF,1595186641
Sisimiut,66.94,-53.67,54.0,67,96,4.88,GL,1595186641
Lavrentiya,65.58,-171.0,47.82,66,86,12.66,RU,1595186642
Tutóia,-2.76,-42.27,82.15,63,80,7.61,BR,1595186642
Benghazi,32.12,20.07,77.86,71,0,17.47,LY,1595186642
Pirgos,35.12,25.72,78.01,51,0,3.0,GR,1595186642
Hauknes,66.28,14.07,59.0,77,40,2.24,NO,1595186642
Tura,25.52,90.22,75.13,97,98,7.92,IN,1595186642
Port-Gentil,-0.72,8.78,75.2,88,20,14.12,GA,1595186643
Nakambala,-15.83,27.78,52.12,71,0,4.79,ZM,1595186643
Östersund,63.18,14.64,62.6,72,100,9.17,SE,1595186643
San Carlos,9.66,-68.58,84.45,72,63,3.18,VE,1595186643
Pokhara,28.23,83.98,71.78,87,100,0.76,NP,1595186643
De Aar,-30.65,24.01,46.06,42,0,1.45,ZA,1595186644
Heishan,41.69,122.11,66.94,85,90,5.23,CN,1595186644
Nampa,43.54,-116.56,84.99,30,1,6.93,US,1595186526
Libreville,0.39,9.45,78.8,78,40,9.17,GA,1595186584
Saint George,37.1,-113.58,99.0,8,1,6.46,US,1595186382
Havelock,34.88,-76.9,91.4,31,75,11.41,US,1595186644
Hualmay,-11.1,-77.61,66.18,65,80,11.16,PE,1595186644
Shelburne,44.08,-80.2,77.0,88,1,5.82,CA,1595186644
Ancud,-41.87,-73.82,51.01,100,90,6.93,CL,1595186644
Anykščiai,55.53,25.1,66.25,72,100,5.23,LT,1595186644
Abu Samrah,35.3,37.18,80.13,33,0,6.87,SY,1595186644
Dolores,-36.31,-57.68,60.84,90,100,10.76,AR,1595186645
Chumikan,54.72,135.31,52.95,95,100,10.04,RU,1595186645
Terra Roxa,-23.86,-50.03,72.0,80,5,3.0,BR,1595186645
Beisfjord,68.38,17.6,57.2,71,75,12.75,NO,1595186645
Bolobo,-2.17,16.23,78.82,52,4,2.13,CD,1595186645
Lompoc,34.64,-120.46,73.4,77,1,9.17,US,1595186406
Nanortalik,60.14,-45.24,50.92,72,0,2.04,GL,1595186407
Bogovinje,41.92,20.91,73.4,53,40,11.41,MK,1595186645
George,-33.96,22.46,50.0,100,0,4.7,ZA,1595186645
Avera,33.19,-82.53,95.0,41,1,3.36,US,1595186645
Nago,26.59,127.98,82.4,94,1,4.7,JP,1595186645
Marsh Harbour,26.54,-77.06,83.64,77,0,15.5,BS,1595186630
San Jose,37.34,-121.89,78.01,53,75,5.82,US,1595186609
Klisura,42.7,24.45,66.2,93,75,4.7,BG,1595186646
Ponta Delgada,37.73,-25.67,73.4,64,75,12.75,PT,1595186414
North Bend,43.41,-124.22,77.0,72,1,21.92,US,1595186646
Micheweni,-4.97,39.83,76.33,71,0,16.64,TZ,1595186646
Waingapu,-9.66,120.26,73.96,84,3,10.02,ID,1595186459
Mehamn,71.04,27.85,57.2,93,75,2.24,NO,1595186646
Polessk,54.86,21.1,69.8,77,100,4.47,RU,1595186646
Darnah,32.77,22.64,75.74,78,0,17.38,LY,1595186646
Gijang,35.24,129.21,78.8,88,75,20.8,KR,1595186646
Dudinka,69.41,86.18,48.2,81,100,17.9,RU,1595186646
Mayo,38.89,-76.51,95.0,58,1,9.35,US,1595186647
Ibirama,-27.06,-49.52,77.0,76,0,1.01,BR,1595186647
Dekar,-21.53,21.93,53.19,38,0,6.67,BW,1595186647
Bereda,43.27,-7.54,68.0,82,13,5.99,ES,1595186647
Ferrol,43.48,-8.24,66.2,88,40,10.29,ES,1595186647
Moanda,-1.56,13.22,78.8,78,40,3.36,GA,1595186647
Flin Flon,54.77,-101.86,71.6,40,40,5.82,CA,1595186647
Oranjestad,12.52,-70.03,89.6,66,40,21.92,AW,1595186647
Kamaishi,39.27,141.88,65.55,90,99,3.47,JP,1595186647
Mikhaylovka,50.06,43.24,62.01,71,0,1.01,RU,1595186647
Puerto Madryn,-42.77,-65.04,44.6,93,75,6.93,AR,1595186648
Ceatalchioi,45.29,28.79,71.6,56,0,3.36,RO,1595186648
Laguna,38.42,-121.42,84.99,39,1,9.17,US,1595186648
Batagay,67.63,134.63,60.24,82,100,3.13,RU,1595186648
Oussouye,12.48,-16.55,84.2,74,20,9.17,SN,1595186460
Shingū,33.73,135.98,72.1,79,100,5.17,JP,1595186648
Xingcheng,40.62,120.72,66.61,82,56,6.17,CN,1595186648
Zhezkazgan,47.8,67.71,73.4,49,40,8.95,KZ,1595186648
Celestún,20.87,-90.4,84.49,71,26,7.96,MX,1595186423
Karachi,24.91,67.08,86.0,79,75,11.41,PK,1595186407
Mpanda,-6.37,31.04,62.08,61,0,1.59,TZ,1595186648
Kuytun,54.34,101.5,43.41,82,0,1.32,RU,1595186648
Weiser,44.25,-116.97,87.8,22,1,4.7,US,1595186649
Priargunsk,50.37,119.1,54.7,89,80,11.45,RU,1595186649
Kieta,-6.22,155.63,76.82,77,4,4.41,PG,1595186398
Fortuna,40.6,-124.16,64.4,72,20,11.41,US,1595186649
San Policarpo,12.18,125.51,81.19,77,2,2.21,PH,1595186649
Kushtagi,15.77,76.2,74.46,86,100,15.97,IN,1595186649
Guerrero Negro,27.98,-114.06,78.69,57,2,14.56,MX,1595186649
Touros,-5.2,-35.46,82.4,69,40,12.75,BR,1595186527
Bonavista,48.65,-53.11,64.0,67,68,10.98,CA,1595186404
Aswān,24.09,32.91,93.87,15,10,9.71,EG,1595186649
Mossamedes,-15.2,12.15,69.04,72,0,6.31,AO,1595186650
Madang,-5.22,145.8,75.42,89,33,2.53,PG,1595186650
Sīrjān,29.45,55.68,79.07,16,0,14.07,IR,1595186650
Departamento de Maldonado,-34.67,-54.92,75.99,69,100,2.24,UY,1595186414
Anadyr,64.75,177.48,48.2,70,0,4.47,RU,1595186650
Catalina,32.51,-110.92,100.0,18,8,7.0,US,1595186650
Mangai,-4.05,19.53,75.02,36,0,1.21,CD,1595186650
Santa Fe,-31.63,-60.7,81.7,47,95,8.9,AR,1595186464
Jiménez,28.33,-105.4,89.6,31,40,12.75,MX,1595186650
Alamogordo,32.9,-105.96,91.4,26,27,5.82,US,1595186650
Mokhsogollokh,61.47,128.92,62.73,96,0,3.65,RU,1595186650
Anchorage,61.22,-149.9,61.0,72,90,5.82,US,1595186410
Lisbon,38.72,-9.13,77.0,60,0,10.29,PT,1595186552
Ust'-Koksa,50.27,85.61,59.16,74,81,0.04,RU,1595186651
Cap-aux-Meules,47.38,-61.86,75.2,69,20,10.29,CA,1595186651
Svobodnyy,51.4,128.13,67.06,94,100,7.38,RU,1595186651
Santa Cruz,30.42,-9.6,82.4,58,0,12.75,MA,1595186651
Pointe Michel,15.25,-61.38,87.8,74,40,4.7,DM,1595186651
Kruisfontein,-34.0,24.73,52.45,81,0,3.87,ZA,1595186651
Bairiki Village,1.33,172.98,82.4,74,20,8.05,KI,1595186651
Gali,42.63,41.74,71.76,90,0,0.25,GE,1595186651
Saint-Junien,45.88,0.9,84.0,34,0,3.36,FR,1595186651
Caraballeda,10.61,-66.85,79.0,68,27,4.76,VE,1595186651
Mount Isa,-20.73,139.5,60.8,18,0,10.29,AU,1595186651
Humenné,48.94,21.92,62.6,93,98,8.05,SK,1595186652
Alcúdia,39.85,3.12,80.01,65,0,6.93,ES,1595186652
Zhigalovo,54.81,105.16,43.21,88,0,2.51,RU,1595186652
São Filipe,14.9,-24.5,77.49,78,100,5.95,CV,1595186652
Mezhova,48.25,36.73,65.93,73,0,8.32,UA,1595186652
Pevek,69.7,170.31,45.86,59,0,2.57,RU,1595186603
Beringovskiy,63.05,179.32,45.18,85,69,10.94,RU,1595186415
Henties Bay,-22.12,14.28,68.16,31,0,11.03,NA,1595186652
Atbasar,51.8,68.33,71.31,46,96,6.42,KZ,1595186652
Vitim,59.45,112.56,53.67,76,100,1.86,RU,1595186652
Wukari,7.85,9.78,74.82,92,78,5.97,NG,1595186652
Whangarei,-35.73,174.32,55.99,3,59,4.74,NZ,1595186652
Dhidhdhoo,6.88,73.1,80.53,82,99,19.24,MV,1595186653
Baripāda,21.93,86.72,84.27,74,100,8.7,IN,1595186653
Quang Ngai,15.12,108.8,78.1,88,100,5.35,VN,1595186653
Havøysund,71.0,24.66,57.2,76,100,4.7,NO,1595186653
Nakhon Nayok,14.2,101.21,86.0,100,99,4.25,TH,1595186653
Ko Samui,9.54,99.94,84.47,72,100,3.78,TH,1595186653
Blythe,33.61,-114.6,107.6,9,40,6.93,US,1595186653
Verkhoyansk,67.54,133.38,60.55,79,100,4.25,RU,1595186653
Lungi,9.22,-12.68,75.04,94,100,7.05,SL,1595186654
